Ampel,f,traffic light
Aufzug,m,lift
Bauer,m,farmer
Bäuerin,f,farmer
Bauernhof,m,farm
Baum,m,tree
Berg,m,mountain
Bibliothek,f,library
Blume,f,flower
Brücke,f,bridge
Brunnen,m,fountain
Burg,f,castle
Einwohner,m,inhabitant
Ente,f,duck
Etage,f,floor
Fahrstuhl,m,lift
Fluss,m,river
Fuß,m,foot
Fußgänger,m,pedestrian
Galerie,f,gallery
Gegend,f,area
Hafen,m,port
Hügel,m,hill
Katze,f,cat
Kreuzung,f,crossroads
Kuh,f,cow
Laden,m,shop
Landschaft,f,landscape
Lift,m,lift
Mücke,f,midge
Ort,m,place
Palast,m,palace
Park,m,park
Parkplatz,m,car park
Platz,m,square
Polizei,f,police
Polizeiwache,f,police station
Region,f,region
See,m,lake
Sehenswürdigkeit,f,sight
Stadt,f,town
Stadtmitte,f,town centre
Stock,m,floor
Straße,f,road
Turm,m,tower
Verkehr,m,traffic
Verkehrsampel,f,traffic light
Vorort,m,suburb
Vorstadt,f,suburbs
Zeitungskiosk,m,newspaper stand
Donner,m,thunder
Grad,m,degree
Himmel,m,sky
Hitze,f,heat
Jahreszeit,f,season
Kälte,f,cold
Mantel,m,coat
Nebel,m,fog
Nord,m,north
Ost,m,east
Regen,m,rain
Regenmantel,m,raincoat
Regenschauer,m,shower
Regenschirm,m,umbrella
Schnee,m,snow
Sonne,f,sun
Stern,m,star
Sturm,m,storm
Süd,m,south
Temperatur,f,temperature
West,m,west
Wetterbericht,m,weather report
Wettervorhersage,f,weather forecast
Wind,m,wind
Wolke,f,cloud
Abfahrt,f,departure
Abreise,f,departure
Ankunft,f,arrival
Ausfahrt,f,exit
Ausgang,m,way out
Ausweis,m,identity card
Autobahn,f,motorway
Bahn,f,train
Bahnhof,m,railway station
Bahnsteig,m,platform
Bus,m,bus
Busbahnhof,m,bus station
Ecke,f,corner
Einzelfahrkarte,f,single ticket
Eisenbahn,f,train
Eurotunnel,m,Channel Tunnel
Fähre,f,ferry
Fahrkarte,f,ticket
Fahrt,f,journey
Flughafen,m,airport
Führerschein,m,driving licence
Fußgänger,m,pedestrian
Geschwindigkeit,f,speed
Grenze,f,border
Haltestelle,f,stop
Heimfahrt,f,journey home
Rückfahrkarte,f,return ticket
Schalter,m,ticket counter
Sicherheit,f,safety
Stau,m,traffic jam
Straßenbahn,f,tram
Tankstelle,f,petrol station
Tür,f,door
Unfall,m,accident
Verkehr,m,traffic
Verspätung,f,delay
Vorfahrt,f,right of way
Wagen,m,car
Warteraum,m,waiting room
Zoll,m,customs
Zug,m,train
Aktivität,f,activity
Aufenthalt,m,stay
Aussicht,f,view
Balkon,m,balcony
Broschüre,f,brochure
Camcorder,m,camcorder
Campingplatz,m,camp site
Dusche,f,shower
Empfang,m,reception
Fotoapparat,m,camera
Gebühr,f,charge
Jugendherberge,f,youth hostel
Kamera,f,camera
Klimatisierung,f,air conditioning
Koffer,m,suitcase
Miete,f,rent
Pass,m,passport
Pension,f,guest house
Person,f,person
Postkarte,f,postcard
Preis,m,price
Sand,m,sand
Sandburg,f,sand castle
Schlafsack,m,sleeping bag
See,f,sea
Sommer,m,summer
Sonnenbrille,f,sunglasses
Sonnencreme,f,sun cream
Stadtplan,m,street map
Strand,m,beach
Taschenlampe,f,torch
Unterkunft,f,accommodation
Urlaub,m,holiday
Vollpension,f,full board
Wasserski,m,waterskiing
Wechsel,m,change
Zeitraum,m,period of time
Auskunft,f,information
Briefmarke,f,postage stamp
Bibliothek,f,library
Briefkasten,m,letter box
Deutsche Post,f,German postal service
Fehler,m,mistake
Fehler,m,fault
Nachname,m,family name
Notanruf,m,emergency call
Polizeiwache,f,police station
Tasche,f,bag
Telefonzelle,f,telephone box
Verlust,m,loss
Vorname,m,first name
Wechselstube,f,bureau de change
Dom,m,cathedral
Geburt,f,birth
Geburtstag,m,birthday
Glückwunschkarte,f,greetings card
Karneval,m,carnival
Kathedrale,f,cathedral
Kerze,f,candle
Kirche,f,church
Moschee,f,mosque
Muttertag,m,Mothers Day
Vatertag,m,Fathers Day
Neujahrstag,m,new years day
Sekt,m,champagne
Silvester,m,New Years Eve
Tod,m,death
Valentinstag,m,Valentines Day
Weihnachtsbaum,m,Christmas tree
Weihnachtsmann,m,Father Christmas
Kindheit,f,childhood
Puppe,f,doll
Abschlussprüfung,f,final exam
Aula,f,hall
Aussprache,f,pronunciation
Austausch,m,exchange
Beamer,m,data projector
Bibliothek,f,library
Bildschirm,m,screen
Bildung,f,education
Biologie,f,biology
Bleistift,m,pencil
Bluse,f,blouse
Chemie,f,chemistry
Computer,m,computer
Erdkunde,f,geography
Erziehung,f,education
Fehler,m,mistake
Fortschritt,m,progress
Geschichte,f,history
Grundschule,f,primary school
Hauptschule,f,secondary school
Hausaufgabe,f,homework
Hof,m,playground
Hose,f,trousers
Informatik,f,computer science
Kindergarten,m,nursery school
Klassenarbeit,f,class test
Kopfhörer,m,headphones
Krawatte,f,tie
Kugelschreiber,m,ballpoint pen
Kuli,m,ballpoint pen
Kunst,f,art
Mappe,f,briefcase
Mathe,f,maths
Mittagspause,f,lunch break
Musik,f,music
Musiksaal,m,music room
Note,f,mark
Pause,f,break
Physik,f,physics
Plan,m,plan
Prüfung,f,exam
Psychologie,f,psychology
Qualifikation,f,qualification
Rechner,m,calculator
Regel,f,rule
Religion,f,religious education
Rock,m,skirt
Rucksack,m,backpack
Schlips,m,tie
Schuh,m,shoe
Schule,f,school
Schulhof,m,playground
Schultag,m,school day
Socke,f,sock
Sozialkunde,f,social studies
Speisesaal,m,dining room
Spitzer,m,sharpener
Sport,m,sport
Sprache,f,language
Stift,m,pen
Strumpfhose,f,tights
Stundenplan,m,timetable
Stunde,f,lesson
Stundenplan,m,timetable
Tafel,f,board
Tasche,f,bag
Taschenrechner,m,pocket calculator
Teil,m,part
Tennisplatz,m,tennis court
Trainingsanzug,m,tracksuit
Turnhalle,f,gym
Umkleideraum,m,changing room
Unterricht,m,lesson
Anrufbeantworter,m,answerphone
Arbeit,f,work
Arbeitslosigkeit,f,unemployment
Ausbildung,f,apprenticeship
Beruf,m,occupation
Bewerbung,f,application
Fabrik,f,factory
Ferienjob,m,holiday job
Firma,f,firm
Gesellschaft,f,company
Grad,m,degree
Kasse,f,till
Kauffrau,f,businesswoman
Kaufmann,m,businessman
Kindergarten,m,nursery
Lehre,f,apprenticeship
Lehrling,m,apprentice
Lohn,m,wages
Stelle,f,job
Stellenanzeige,f,job advertisement
Termin,m,appointment
Verabredung,f,appointment
Werbung,f,advertisement
Karriere,f,career
Universität,f,university
Zukunft,f,future
Badewanne,f,bath tub
Bauernhof,m,farm
Boden,m,floor
Bratpfanne,f,frying pan
Decke,f,ceiling
Dosenöffner,m,tin opener
Flaschenöffner,m,bottle opener
Flur,m,hall
Fußboden,m,floor
Gardine,f,net curtain
Garten,m,garden
Gefrierschrank,m,freezer
Geschirrspülmaschine,f,dishwasher
Hahn,m,tap
Herd,m,cooker
Keller,m,cellar
Küche,f,kitchen
Kühlschrank,m,fridge
Mauer,f,wall
Mikrowelle,f,microwave
Mikrowellenherd,m,microwave oven
Pflanze,f,plant
Rasen,m,lawn
Schlüssel,m,key
Sessel,m,armchair
Stereoanlage,f,stereo system
Stock,m,floor
Stuhl,m,chair
Tasse,f,cup
Teppichboden,m,fitted carpet
Teppich,m,carpet
Terrasse,f,patio
Tiefkühltruhe,f,freezer
Toilette,f,toilet
Treppe,f,stairs
Tür,f,door
Vorhang,m,curtain
Waschmaschine,f,washing machine
Wasserhahn,m,tap
Wohnung,f,flat
Adresse,f,address
Bart,m,beard
Brille,f,glasses
Bruder,m,brother
Familie,f,family
Familienname,m,surname
Frau,f,woman
Freundschaft,f,friendship
Glatze,f,bald head
Goldfisch,m,goldfish
Großmutter,f,grandmother
Großvater,m,grandfather
Hausfrau,f,housewife
Hund,m,dog
Junge,m,boy
Katze,f,cat
Mann,m,man
Maus,f,mouse
Mund,m,mouth
Mutter,f,mother
Mutti,f,mum
Nachname,m,surname
Name,m,name
Neffe,m,nephew
Nichte,f,niece
Oma,f,grandma
Onkel,m,uncle
Opa,m,granddad
Schildkröte,f,tortoise
Schwester,f,sister
Sohn,m,son
Staatsangehörigkeit,f,nationality
Stimme,f,voice
Tante,f,aunt
Tochter,f,daughter
Vater,m,father
Vati,m,dad
Verwandtschaft,f,relations
Vorname,m,first name
Zwilling,m,twin
Abfall,m,rubbish
Anhänger,m,pendant
Armbanduhr,f,wristwatch
Baumwolle,f,cotton
Bettdecke,f,blanket
Blume,f,flower
Brille,f,glasses
Decke,f,blanket
Dosenöffner,m,can opener
Flaschenöffner,m,bottle opener
Gabel,f,fork
Geschirrspüler,m,dishwasher
Gürtel,m,belt
Haarbürste,f,hairbrush
Handschuh,m,glove
Handtasche,f,handbag
Hose,f,pair of trousers
Jacke,f,jacket
Kaffeemaschine,f,coffee maker
Kochtopf,m,saucepan
Lippenstift,m,lipstick
Löffel,m,spoon
Müll,m,rubbish
Mülleimer,m,dustbin
Pulli,m,sweater
Pullover,m,sweater
Ring,m,ring
Schlafanzug,m,pyjamas
Schlüsselbund,m,key ring
Schminke,f,makeup
Schüssel,f,bowl
Schrank,m,cupboard
Schublade,f,drawer
Seife,f,soap
Staubsauger,m,vacuum cleaner
Strumpfhose,f,tights
Tasse,f,cup
Teller,m,plate
Tischdecke,f,tablecloth
Topf,m,saucepan
Trainingsanzug,m,tracksuit
Uhr,f,watch
Wecker,m,alarm clock
Zahnbürste,f,toothbrush
Ananas,f,pineapple
Apfel,m,apple
Apfelsine,f,orange
Apfelwein,m,cider
Aprikose,f,apricot
Banane,f,banana
Blumenkohl,m,cauliflower
Blutwurst,f,black pudding
Bonbon,m,sweet
Bratwurst,f,fried sausage
Butter,f,butter
Champignon,m,mushroom
Dose,f,tin
